brand,Location,model,Description,WeeklyCount
ARROW,Rack,PM15X103 & SK30,Gas Range Kit,120
ARROW,Rack,PM15X104 & SK20,Gas Dryer Kit,37
GE,Rack,WH41X10207,Rubber Washer Hoses,245
GE,Rack,WX08X10008,Refrigerator Water Lines,87
GE,Rack,WX08X10012,Reinforced Refrigerator Line,0
GE,Rack,WX08X10086,Dryer Duct,537
GE,Rack,WX09X10020 & WX9X20,6' 30AMP 4 Wire Dryer Cord,68
GE,Rack,WX09X10035 & WX9X35,4' 40AMP 4 Wire Range Cord,74
GE,Rack,WX14X10005,Reinforced Washer Hoses,91
GE,Rack,WX14X10010,Steam Kit for Dryer,57
GE,Rack,WX09X70910,5'4\" D/W Cord,83
GE,Rack,WX28X404,12' DW Drain Hose,66
GE,Rack,WX28X326 & BK461,6' DW Kit,229
ARROW,Rack,CE117,3' Power Cord Straight Cap (Range Hood Cord),59
GE,Rack,WX9X18,Universal 4 Wire Dryer Power Cord 4',72
GE,Rack,WX9X18,Universal 4 Wire Dryer Power Cord 4',88
GE,Rack,WX9X19,Universal 4 Wire Dryer Power Cord 5',64
GE,Rack,WX28X327,Universal DW Kit 12',95
GE,Rack,WX09X70911,DW Cord 3-Wire 7'9\" Length,41
GE,Rack,WX9X6 & WX09X10006,Range 3 Wire Power Cord 4',77
GE,Rack,WX09X10006,Range 3 Wire Power Cord 4',69
GE,Rack,WX09X10005,6' 30AMP 3 Wire Dryer Cord,84
GE,Rack,WX09X10004,4' 30AMP 3 Wire Dryer Cord,53
ARROW,Cabinet,M155,Noalox Anti-Oxidant Joint Compound,61
GE,Cabinet,WX17X10001CA,Anti-Vibration Pads,79
ARROW,Cabinet,C53,1/2\" 90deg Box Connector,47
ARROW,Cabinet,BPT,Brown Packing Tape,92
ARROW,Cabinet,XR206,1 1/4\" x 1/4C Poly Water Conn Bag,58
ARROW,Cabinet,E90,1/2\" - 10PK Black Button - Push,36
ARROW,Cabinet,WELD ON,Pipe Thread Sealant,81
ARROW,Cabinet,50-912,#12 Worm Gear Hose Clamp,44
ARROW,Cabinet,PB53,3/8\" 90 Degree Street Elbow Black,63
ARROW,Cabinet,F641,Aluminum Split Bolts,90
ARROW,Cabinet,PC22,Yellow Wire Connector - 25 Pack,55
ARROW,Cabinet,PC62,Blue Winged Wire Nuts 100 Pack,98
ARROW,Cabinet,C61,Red Wing Wire Nut Connector 25pk,73
ARROW,Cabinet,T94,Black Electrical Tape,85
ARROW,Cabinet,T242,Rubber Splicing Tape,62
ARROW,Cabinet,T98,Aluminum Foil Tape,39
GE,Cabinet,RED TAG,Red Tag,67
