"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
JVM6175SKSS,SA207741,,Available,
GNE25JYKFS,TA327225,,Available,
PTD60GBSRWS,SA825868,,Available,
GTD45EASJWS,VA505302,,Available,
CTD70DP2NS1,TA140708,,Available,
GNE25JYKFS,ZA325718,,Available,
ZDT925SPNSS,SA764715,,Available,
GDT650SYVFS,VA866687,,Available,
GFW655SPVDS,AA341282,,Available,
GFD65GSSVWW,TA238092,,Available,
JGBS66REKSS,MA407158,,Available,
PGS930YPFS,AA926294,,Available,
PFW870SPVRS,TZ372010,,Available,
GTX33EASKWW,TA872441,,Available,
GDT650SYVFS,TA943847,,Available,
GTS22KYNRFS,VA761021,,Available,
GTD48EASWWB,TA576025,,Available,
GNE27JYMFS,RA393763,,Available,
GTW485ASWWB,TA995878,,Available,
GDT650SYVFS,RA818257,,Available,
PTW700BPTDG,SA181394,,Available,
GDT650SYVFS,TA943842,,Available,
GFD55GSSNWW,TA159459,,Available,
PTW700BPTDG,SA181395,,Available,
GDT650SYVFS,TA943841,,Available,
GTD58EBPVDG,LA724465,,Available,
GSS25GYPFS,LA461902,,Available,
JVM3160RFSS,FA217206,,Available,
JGP5030SLSS,VA061233,,Available,
CGE29DP4TW2,RA157585,,Available,
FUF21DLRWW,SA590507,,Available,
JVM7195EKES,AA200862,,Available,
HTW265ASWWW,VA984483,,Available,
GDT650SYVFS,TA924082,,Available,
GFD55GSSNWW,VA119539,,Available,
GTS18HGNRWW,TA750692,,Available,
PVD28BYNFS,SA531913,,Available,
PVD28BYNFS,SA531912,,Available,
GFD65ESSVWW,SA949764,,Available,
GFD65GSPVDS,TA915657,,Available,
PK7800SKSS,MA016225,,Available,
PVD28BYNFS,ZA506442,,Available,
GDT650SYVFS,TA738601,,Available,
GTD48EASWWB,TA842332,,Available,
QJS15HYRFS,SA714357,,Available,
GTX33EASKWW,TA872661,,Available,
PVD28BYNFS,SA531927,,Available,
GWE22JYMFS,ZA378597,,Available,
JTS5000SVSS,VA024762,,Available,
PTS7000SNSS,TA016845,,Reserved,"Not Available"
PWE23KYNFS,AA503704,,Available,
CZS22MP2NS1,GA455337,,Available,
HTW265ASWWW,VA970023,,Available,
GRS500PVSS,TA164478,,Available,
JX7227SLSS,,1,Available,
GTX33EASKWW,VA862154,,Available,
AZ91H09D5E,AS330401,,Available,
GFD55ESSNWW,RA131584,,Available,
GTW538ASWWS,TA949875,,Available,
PTW600BSRWS,TA144237,,Available,
PAE28BYTFS,ZZ157486,,Reserved,"Not Available"
GTW485ASWWB,VA159498,,Available,
GUD24GSSMWW,VA065582,,Available,
PDD415PYYFS,LA715647,,Available,
PFW870SPVRS,AA309354,,Available,
GRF40HSVSS,ZA079591,,Available,
PFW870SPVRS,SA353639,,Available,
GFD65ESSVWW,VA137521,,Available,
FUF14DLRWW,HZ170083,,Available,
