"ORDC","MODELS","SERIALS","QTY","LOAD NUMBER"
"9SU","C2Y366P4TW2","VA907302","1","9SU20251230122615"
"9SU","CES750P4MW2","MA377194","1","9SU20251230122615"
"9SU","FCM16DLWW","RA900223","1","9SU20251230122615"
"9SU","FUF17DLRWW","MA048260","1","9SU20251230122615"
"9SU","FUF17DLRWW","SA050808","1","9SU20251230122615"
"9SU","GDT650SYVFS","RA818257","1","9SU20251230122615"
"9SU","GDT650SYVFS","SA871947","1","9SU20251230122615"
"9SU","GFD65ESPVDS","TA238229","1","9SU20251230122615"
"9SU","GFW550SSNWW","DA356524","1","9SU20251230122615"
"9SU","GFW655SPVDS","VZ381875","1","9SU20251230122615"
"9SU","GNE25JYKFS","TA327197","1","9SU20251230122615"
"9SU","GNE27JYMFS","TA328117","1","9SU20251230122615"
"9SU","GNE27JYMFS","TA348775","1","9SU20251230122615"
"9SU","GNE27JYMFS","TA391842","1","9SU20251230122615"
"9SU","GSS25GYPFS","TA461606","1","9SU20251230122615"
"9SU","GTD48EASWWB","HA701910","1","9SU20251230122615"
"9SU","GTS22KGNRWW","TA872484","1","9SU20251230122615"
"9SU","GTS22KGNRWW","TA872523","1","9SU20251230122615"
"9SU","GTS22KGNRWW","TA872811","1","9SU20251230122615"
"9SU","GTS22KYNRFS","RA736023","1","9SU20251230122615"
"9SU","GTS22KYNRFS","SA792067","1","9SU20251230122615"
"9SU","GTS22KYNRFS","TA836089","1","9SU20251230122615"
"9SU","GUD27ESSMWW","HA038175","1","9SU20251230122615"
"9SU","GUD27ESSMWW","TA038829","1","9SU20251230122615"
"9SU","GWE19JYLFS","TA348644","1","9SU20251230122615"
"9SU","GWE22JYMFS","TA380138","1","9SU20251230122615"
"9SU","GYE22GYNFS","MA506678","1","9SU20251230122615"
"9SU","JGBS66DEKBB","TA425733","1","9SU20251230122615"
"9SU","JGBS66REKSS","RA421030","1","9SU20251230122615"
"9SU","JVM3160RFSS","FA217152","1","9SU20251230122615"
"9SU","JVM7195SKSS","TZ208957","1","9SU20251230122615"
"9SU","PDD415PYYFS","HA712356","1","9SU20251230122615"
"9SU","PDD415PYYFS","LA714464","1","9SU20251230122615"
"9SU","PDT755SYVFS","MA702834","1","9SU20251230122615"
"9SU","PDT795SYVFS","TA892034","1","9SU20251230122615"
"9SU","PFD87ESPVRS","SA119157","1","9SU20251230122615"
"9SU","PFD87ESSVWW","RA104120","1","9SU20251230122615"
"9SU","PFD87GSSVWW","RA179666","1","9SU20251230122615"
"9SU","PFD95ESPWDS","ZZ151568","1","9SU20251230122615"
"9SU","PFQ97HSPVDS","MA319841","1","9SU20251230122615"
"9SU","PFW870SPVRS","SA353639","1","9SU20251230122615"
"9SU","PFW955SPWDS","ZZ341841","1","9SU20251230122615"
"9SU","PGE29BYTFS","SA129310","1","9SU20251230122615"
"9SU","PGE29BYTFS","SA129644","1","9SU20251230122615"
"9SU","PGE29BYTFS","SA133291","1","9SU20251230122615"
"9SU","PGS930YPFS","AA926294","1","9SU20251230122615"
"9SU","PHP9036DTBB","MA085001","1","9SU20251230122615"
"9SU","PHP9036DTBB","RA053088","1","9SU20251230122615"
"9SU","PK7800SKSS","VA032985","1","9SU20251230122615"
"9SU","PS960YPFS","HA170275","1","9SU20251230122615"
"9SU","PT7800SHSS","VA050064","1","9SU20251230122615"
"9SU","PTD60EBPRDG","MA575122","1","9SU20251230122615"
"9SU","PTD60EBPRDG","RZ555104","1","9SU20251230122615"
"9SU","PTD70EBPTDG","LA550502","1","9SU20251230122615"
"9SU","PTS9000SNSS","RA160656","1","9SU20251230122615"
"9SU","PTW600BPRDG","MA937317","1","9SU20251230122615"
"9SU","PTW600BPRDG","MA937367","1","9SU20251230122615"
"9SU","PVD28BYNFS","TA501047","1","9SU20251230122615"
"9SU","PVD28BYNFS","VA511109","1","9SU20251230122615"
"9SU","PVM9005SJSS","RA203027","1","9SU20251230122615"
