"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
PTS7000SNSS,LA067189,,Reserved,"Not Available"
GUD27ESSMWW,VA064207,,Reserved,"Not Available"
JB256DMWW,VA304138,,Reserved,"Not Available"
JVM6175SKSS,LA204629,,Reserved,"Not Available"
PHS700AYFS,AD031660,,Reserved,"Not Available"
JVM6175SKSS,MA200420,,Reserved,"Not Available"
CTS90DP2NS1,AD017629,,Reserved,"Not Available"
GDT225SSLSS,VA711959,,Reserved,"Not Available"
GNE27JYMFS,VA391211,,Reserved,"Not Available"
GTS18DTNRBB,TA853172,,Reserved,"Not Available"
GSS23GYPFS,TA450930,,Reserved,"Not Available"
GNE25JYKFS,LA348163,,Reserved,"Not Available"
JGBS66REKSS,ZA416273,,Reserved,"Not Available"
GTS22KYNRFS,SA792158,,Reserved,"Not Available"
PFW870SSVWW,RA326133,,Reserved,"Not Available"
JGBS66REKSS,ZA417120,,Reserved,"Not Available"
GTD48EASWWB,TA576018,,Reserved,"Not Available"
GFD55ESSNWW,TA973288,,Reserved,"Not Available"
PVM9215SKSS,TA200921,,Reserved,"Not Available"
PGE29BYTFS,VV141066,,Reserved,"Not Available"
JBS160DMBB,TA465991,,Reserved,"Not Available"
PFW870SSVWW,RA325182,,Reserved,"Not Available"
PTW700BSTWS,VA972592,,Reserved,"Not Available"
UXDC72SJSS,,5,Reserved,"Not Available"
GUD27ESSMWW,TA039930,,Reserved,"Not Available"
GFW510SCVWW,VA328914,,Reserved,"Not Available"
GTD58EBSVWS,RA713175,,Reserved,"Not Available"
PVM9179SRSS,HA200086,,Reserved,"Not Available"
HTX26EASWWW,TA760381,,Reserved,"Not Available"
GGF600AVSS,TA020387,,Reserved,"Not Available"
JVW5361SJSS,SZ801760,,Reserved,"Not Available"
GDT535PSRSS,VA759983,,Reserved,"Not Available"
GTD48GASWWB,HA826235,,Reserved,"Not Available"
UVW93642PSS,RA831797,,Reserved,"Not Available"
PFQ97HSPVDS,MA321392,,Reserved,"Not Available"
GTW485ASWWB,ZA205374,,Reserved,"Not Available"
PGS930YPFS,TA384697,,Reserved,"Not Available"
JGBS66REKSS,MA424861,,Reserved,"Not Available"
GTW485ASWWB,ZA205375,,Reserved,"Not Available"
GTX38EASWWS,TA865697,,Reserved,"Not Available"
PDT755SYVFS,HA801272,,Reserved,"Not Available"
GME04GLKLB,SA085803,,Reserved,"Not Available"
GTD58EBSVWS,RA713188,,Reserved,"Not Available"
JBS360RTSS,ZA430877,,Reserved,"Not Available"
GTW485ASWWB,ZA205376,,Reserved,"Not Available"
JTS3000SNSS,AD006222,,Reserved,"Not Available"
GTW485ASWWB,ZA205377,,Reserved,"Not Available"
PVD28BYNFS,TA536600,,Reserved,"Not Available"
JTS3000SNSS,AD006221,,Reserved,"Not Available"
GTW485ASWWB,ZA205378,,Reserved,"Not Available"
GTW485ASWWB,ZA205379,,Reserved,"Not Available"
GNE25JYKFS,TA326593,,Reserved,"Not Available"
GNE25JYKFS,SA344774,,Reserved,"Not Available"
GTE18DTNRWW,ZA765834,,Reserved,"Not Available"
JGBS66REKSS,VA418232,,Reserved,"Not Available"
GNE27JYMFS,VA389049,,Reserved,"Not Available"
CX153P2MSS,,1,Reserved,"Not Available"
FFTR1814WB,BA55110255,,Reserved,"Not Available"
PK7800SKSS,SA115547,,Reserved,"Not Available"
GDT670SYVFS,RA703113,,Reserved,"Not Available"
UVW93642PSS,MA831046,,Reserved,"Not Available"
PK7800SKSS,SA115548,,Reserved,"Not Available"
GDF550PGRWW,ZA742052,,Reserved,"Not Available"
JBS160DMWW,TA451779,,Reserved,"Not Available"
GDT550PYRFS,LA731583,,Reserved,"Not Available"
PHS700AYFS,SA055344,,Reserved,"Not Available"
HTW265ASWWW,ZA203266,,Reserved,"Not Available"
GRF500PVSS,TA043434,,Reserved,"Not Available"
GTW485ASWWB,LA971869,,Reserved,"Not Available"
JVM6175SKSS,MA200438,,Reserved,"Not Available"
FUF21DLRWW,SA590614,,Reserved,"Not Available"
GTX33EASKWW,TA859585,,Reserved,"Not Available"
PFQ97HSPVRS,SA357599,,Reserved,"Not Available"
JVX3300SJSS,AA809477,,Reserved,"Not Available"
GTW538ASWWS,TA243813,,Reserved,"Not Available"
GNE25JYKFS,TA325153,,Reserved,"Not Available"
PWS06DSPSS,TA017192,,Reserved,"Not Available"
PT9800SHSS,MA084010,,Reserved,"Not Available"
GRS500PVSS,MA119805,,Reserved,"Not Available"
GDF460PGTWW,TA909808,,Reserved,"Not Available"
PHP9030DTBB,MA097418,,Reserved,"Not Available"
PTD60EBPRDG,TA563321,,Reserved,"Not Available"
PVD28BYNFS,TA500673,,Reserved,"Not Available"
RBS330DRBB,TA448228,,Reserved,"Not Available"
GTW485ASWWB,VA184323,,Reserved,"Not Available"
GME04GLKLB,SA085748,,Reserved,"Not Available"
GTW585BSVWS,VA998976,,Reserved,"Not Available"
GWE19JYLFS,SA327390,,Reserved,"Not Available"
PT7800SHSS,SA087441,,Reserved,"Not Available"
CDP888M5VS5,GA866283,,Reserved,"Not Available"
PHS930YPFS,TA046372,,Reserved,"Not Available"
GFW350SPYDS,RA311847,,Reserved,"Not Available"
GTW485ASWWB,VA126041,,Reserved,"Not Available"
CVM517P4RW2,SA300098,,Reserved,"Not Available"
GSS23GYPFS,MA433796,,Reserved,"Not Available"
GGS500SVSS,SA002900,,Reserved,"Not Available"
GTW485ASWWB,ZA215281,,Reserved,"Not Available"
GTX52EASPWB,ZA509402,,Reserved,"Not Available"
GTW485ASWWB,VA904110,,Reserved,"Not Available"
GTD38GASWWS,MA824540,,Reserved,"Not Available"
GFD65GSSVWW,SA924789,,Reserved,"Not Available"
CGS700P4MW2,VA483032,,Reserved,"Not Available"
JVM3160RFSS,LZ205621,,Reserved,"Not Available"
GFW550SSNWW,TA347094,,Reserved,"Not Available"
JVX5360SJSS,RA804305,,Reserved,"Not Available"
CDT858P2VS1,VA842334,,Reserved,"Not Available"
GFD55ESSNWW,RA131475,,Reserved,"Not Available"
JVM7195SKSS,MA200069,,Reserved,"Not Available"
GTS22KYNRFS,VA827165,,Reserved,"Not Available"
GTW485ASWWB,LA203315,,Reserved,"Not Available"
GTW220ACWWW,RA201637,,Reserved,"Not Available"
JTS3000SNSS,AD006225,,Reserved,"Not Available"
JTS3000SNSS,AD006227,,Reserved,"Not Available"
PFW870SSVWW,RA326187,,Reserved,"Not Available"
PGB965YPFS,SA380134,,Reserved,"Not Available"
JVM7195DKBB,TA200420,,Reserved,"Not Available"
PHS930YPFS,MA160333,,Reserved,"Not Available"
PGS930YPFS,VA481647,,Reserved,"Not Available"
CVM517P4RW2,FA300889,,Reserved,"Not Available"
FMOS1846BW,KG54318800,,Reserved,"Not Available"
CDT828P2VS1,VA790417,,Reserved,"Not Available"
GDT550PGRWW,DA828417,,Reserved,"Not Available"
GTS18HYNRFS,VA788236,,Reserved,"Not Available"
JGBS66REKSS,ZA417058,,Reserved,"Not Available"
CGS750P4MW2,SA375618,,Reserved,"Not Available"
GTW485ASWWB,ZA219777,,Reserved,"Not Available"
JGBS10DEMWW,VA361862,,Reserved,"Not Available"
JB256DMBB,VA307510,,Reserved,"Not Available"
GFW655SPVDS,AA320531,,Reserved,"Not Available"
JVM7195DKBB,TA200419,,Reserved,"Not Available"
GGF400PVSS,TA073307,,Reserved,"Not Available"
ZKUN,,1,Reserved,"Not Available"
PKD7000SNSS,SA143252,,Reserved,"Not Available"
GTW385ASWWS,VA918422,,Reserved,"Not Available"
JVM3160RFSS,RA241205,,Reserved,"Not Available"
GTD48EASWWB,TA523986,,Reserved,"Not Available"
PTW605BSRWS,TA802020,,Reserved,"Not Available"
PFQ97HSPVDS,LZ317428,,Reserved,"Not Available"
GRF400SVSS,TA146247,,Reserved,"Not Available"
PVM9005SJSS,MA203937,,Reserved,"Not Available"
JVM7195SKSS,SA200952,,Reserved,"Not Available"
CGU366P2TS1,TA901963,,Reserved,"Not Available"
FUF21DLRWW,SA590435,,Reserved,"Not Available"
JVM3160DFBB,SA206097,,Reserved,"Not Available"
JVW5361SJSS,MA822024,,Reserved,"Not Available"
PHP9036DTBB,MA042541,,Reserved,"Not Available"
JXA019K,,2,Reserved,"Not Available"
PCWK22U1WDD,SA202233,,Reserved,"Not Available"
GTW585BSVWS,VA149760,,Reserved,"Not Available"
GRF400SVSS,SA057647,,Reserved,"Not Available"
GTW385ASWWS,SA211394,,Reserved,"Not Available"
GDT650SYVFS,SA838297,,Reserved,"Not Available"
GCST16S1WSS,VA202281,,Reserved,"Not Available"
JGBS60REKSS,ZA402522,,Reserved,"Not Available"
GFE26JYMFS,TA378531,,Reserved,"Not Available"
PTD60GBPRDG,TA791549,,Reserved,"Not Available"
GFT14ESSMWW,SA501034,,Reserved,"Not Available"
PFW955SPWDS,ZZ313357,,Reserved,"Not Available"
GZS22IYNFS,LA462956,,Reserved,"Not Available"
